IdProducto	DescProducto	Conjunto	Familia
@2776901	PERFIL ALUM CORRID 700MMPUERTAS	 FRENTES DE CAJON/ CAJONES	BANOS Y COCINAS
@1840290	INTERRUPTOR T/RIEL 2X32A LS	BIFASICOS/BIPOLAR	ELECTRICIDAD
@162620	PERNO HEX G2 1/2-12X1 1/2 ZBR2.	PERNOS HEXAGONALES	FERRETERIA
@2747839	RAPIDUCHA DYNAMIC ROTOPLAS	DUCHAS/REGADERAS INSTANTANEAS RAPIDUCHAS	BANOS Y COCINAS
@2443171	HOJAS DE LIJAS P/LIJADORASG180	LIJA PARA LIJADORA	HERRAMIENTAS Y MAQUINARIAS
@2064782	IO PORTAPAPEL TOAL EUROSUPREM	PORTAUTENSILIOS DE COCINA	ORGANIZACIÓN
@2532190	ADORNO ARBOL LETRA HOPE 12CM	ADORNOS COLGAR PLASTICO	TEMPORADA
@2340534	IO-BOWLS 15CM BALI	VAJILLA CERAMICA GRANEL	MENAJE
@185205	DADO CONMUTADOR MAGIC.	MODULOS COLOR	ELECTRICIDAD
@2625482	CORT ALGODON 150X230 MORADO 2P	CORTINA TELA HOGAR	DECORACION
@1830570	MONOM DUCHA TINA DQA REGGIO N	MONOMANDOS DE DUCHA/REGADERA - TINA	BANOS Y COCINAS
@1383469	PL MATIX TEC TURQUESA TRIPLE	PLACAS SOLAS COLOR	ELECTRICIDAD
@423408	AUTOP FRAMER P/F 7X7/16 1000U.	AUTOPERFORANTES	FERRETERIA
@2048841	SET DE CUBIERTOS METALICOS FZ	MENAJE INFANTIL	MENAJE
@246120X	MOLDE RED. FILETEADO OCUSINE	ASADERAS / REFRACTARIO VIDRIO TEMPLADO	MENAJE
@2251434	COCINA INDUR 30 PARMA INOX	COCINA / ESTUFAS PISO A GAS 6 PLATOS	LINEA BLANCA Y CLIMATIZACION
@2579987	SBL IMP HP MULTI ULTRA 4729	IMPRESORAS	CASA INTELIGENTE
